id,issue_id,classification,classification_probabilities,classification_raw_response,model,prompt_version,temperature,classified_at
1,1,Intrinsic,"{""Intrinsic"": 0.95, ""Extrinsic"": 0.01, ""Not a Bug"": 0.03, ""Unknown"": 0.01}","**Reasoning:**
**Definition Check** - The issue describes `separability_matrix` (a function within this repository's `astropy.modeling` module) producing incorrect output for a specific, valid input (nested `CompoundModels`). This aligns directly with ""Logic/validation/exception/flow errors in our source code"" under the Intrinsic definition. There are no indications of external dependencies, runtime changes, or platform issues.
**Maintainer Signal** - The author, Cadair, is a MEMBER of the project and states, ""This feels like a bug to me."" The issue was closed by `pllim`, and the closing PR's title and body explicitly confirm an internal calculation error: ""Correctly calculate the separability of a nested compound model"" and ""It appeared the issue was in calculating the separability"". This is strong maintainer confirmation of an Intrinsic bug.
**PR/Commit Evidence** - A closing PR exists, was merged, and changed 3 files, indicating a modification to the repository's production code. The PR's description directly addresses the bug by fixing the calculation logic within the `separability_matrix` function, which is internal to this repository.
**Temporal Signals** - There are no temporal signals such as ""after upgrading [dependency/Node/tool]"", ""since version X"", or ""works on X, fails on Y"". This absence further supports that the issue is not Extrinsic.
**Contract Rule** - The user (a project member) is using the `separability_matrix` function as intended with valid `CompoundModel` objects. The function is failing to produce the correct, expected output for these valid inputs. This indicates a failure in the repository's own code to meet its documented contract, not a misuse by the user or a change in an external API.
**Information Completeness** - The issue provides clear, reproducible code examples demonstrating the incorrect behavior. The closing PR clearly identifies the root cause and the nature of the fix. Information is highly complete and unambiguous.
**Decision** - This is a clear Intrinsic bug. The `separability_matrix` function within the `astropy` repository contains a logic error that causes it to incorrectly compute separability for nested `CompoundModels`. This is confirmed by the author (a member), the issue's labels, and the explicit description of the fix in the closing PR, which modified internal calculation logic.
**Confidence:** High

**Probability Distribution:**
- Intrinsic: 0.95
- Extrinsic: 0.01
- Not a Bug: 0.03
- Unknown: 0.01

**Final Answer:** Intrinsic",google_genai:gemini-2.5-pro,prompts/classification_prompt.md,0.2,2026-06-24T10:54:37.315344
2,2,Not a Bug,"{""Intrinsic"": 0.05, ""Extrinsic"": 0.0, ""Not a Bug"": 0.9, ""Unknown"": 0.05}","**Reasoning:**
**Definition Check** - The issue title ""Please support header rows in RestructuredText output"" and the description ""It would be great if the following would work"" clearly indicate a request for new functionality, not a report of existing functionality breaking or being incorrect. The `TypeError` arises because the `RST.__init__()` method does not currently accept the `header_rows` argument, meaning the feature is not implemented. This aligns directly with the ""Feature requests, enhancement requests"" definition under **Not a Bug**.
**Maintainer Signal** - The issue is explicitly labeled ""Feature Request"". Furthermore, a MEMBER (`taldcroft`) comments ""Great idea and not very difficult, see #14182,"" which confirms the issue is an ""idea"" or enhancement, not a defect.
**PR/Commit Evidence** - The closing PR's title ""Allow RST header rows to be specified via header_rows argument"" and its body ""This pull request is to add support for header rows in RestructuredText output"" explicitly state that new functionality is being *added*, not that a bug in existing logic is being fixed. The PR implements the requested feature.
**Temporal Signals** - There are no temporal signals indicating a regression or a change in external dependencies/runtimes. The user is attempting to use functionality that was never present for this specific output format.
**Contract Rule** - The user is attempting to pass an argument (`header_rows`) that the `RST.__init__()` method's current contract does not support. This is not a case of the repository misusing an external API, nor is it an external API changing its contract. It's a request to extend the repository's own API contract to support new functionality.
**Information Completeness** - The information provided is complete and clearly points to a feature request.
**Decision** - This issue is a clear feature request. The user is asking for new functionality to be added to the `ascii.rst` writer. The `TypeError` is a consequence of this feature not being implemented yet, not a defect in existing, intended behavior. The ""Feature Request"" label, maintainer comments, and the nature of the closing PR (adding functionality) all strongly support this classification.
**Confidence:** High

**Probability Distribution:**
- Intrinsic: 0.05
- Extrinsic: 0.00
- Not a Bug: 0.90
- Unknown: 0.05

**Final Answer:** Not a Bug",google_genai:gemini-2.5-pro,prompts/classification_prompt.md,0.2,2026-06-24T10:54:50.226640
3,3,Intrinsic,"{""Intrinsic"": 0.95, ""Extrinsic"": 0.01, ""Not a Bug"": 0.03, ""Unknown"": 0.01}","**Reasoning:**
**Definition Check** - The issue describes a logic error in this repository's `ascii.qdp` file parser. The code incorrectly assumes that commands in the file are uppercase, while the QDP format specification is case-insensitive. This is a logic error in the project's own source code, which directly aligns with the **Intrinsic** definition.

**Maintainer Signal** - A maintainer (`taldcroft`) reviewed the contributor's analysis and proposed patch, stating ""the fix is probably as simple as that. Would you like to put in a bugfix PR?"". This is a strong signal from a maintainer confirming the issue is a bug within their codebase and encouraging a fix.

**PR/Commit Evidence** - The issue was closed by a pull request titled ""Make ascii.qdp case insensitive"". The PR's purpose was to modify the parsing logic to correctly handle lowercase commands, which is a direct fix to production code in this repository to correct flawed behavior.

**Temporal Signals** - There are no temporal signals present. The issue is not caused by an upgrade of a dependency, runtime, or any other external factor.

**Contract Rule** - The ""contract"" is the QDP file format specification. The `astropy` library's implementation was violating this contract by being overly strict (case-sensitive) when the format itself is not. This is an internal failure to correctly implement the specification, making it an Intrinsic bug.

**Information Completeness** - The issue is fully complete, with a clear description, a minimal reproducible example, version information, and a traceback pointing to the failure within the `astropy` library.

**Decision** - All evidence strongly supports an **Intrinsic** classification. The root cause is a logic error in the library's own file parser, which was confirmed by a maintainer and fixed by modifying production code in this repository.

**Confidence:** High

**Probability Distribution:**
- Intrinsic: 0.95
- Extrinsic: 0.01
- Not a Bug: 0.03
- Unknown: 0.01

**Final Answer:** Intrinsic",google_genai:gemini-2.5-pro,prompts/classification_prompt.md,0.2,2026-06-24T11:02:02.742367
4,4,Intrinsic,"{""Intrinsic"": 0.95, ""Extrinsic"": 0.01, ""Not a Bug"": 0.03, ""Unknown"": 0.01}","**Reasoning:**
**Definition Check** - The issue describes a regression where behavior changed between v5.2 and v5.3 of the project itself. The root cause was identified as a specific line of code changed in a previous PR within this repository, which introduced a logic error. This perfectly matches the definition of **Intrinsic**: ""Logic/validation/exception/flow errors in our source code"" and ""Regressions caused by our own commits in this repo"".

**Maintainer Signal** - The signals from contributors and members are exceptionally strong and clear. A contributor (`chris-simpson`) pinpoints the exact incorrect line of code (`elif operand is None:` instead of `elif operand.mask is None:`). Another contributor (`bmorris3`) confirms this analysis, stating ""I agree that line you suggested above is the culprit, which was changed here... I'll make a PR to fix this today."" This is a direct confirmation of an internal logic bug.

**PR/Commit Evidence** - The closing PR's description is explicit: ""This pull request revises one line changed in PR #14175, which gave rise to Issue #14978."" This confirms the issue is a regression caused by a previous commit in this repository and that the fix involves correcting production code logic, not adapting to an external change.

**Temporal Signals** - The author clearly states the issue exists in v5.3 but ""is not a problem in v5.2"". This ""works on X, fails on Y"" pattern points to a regression. Since the version change is of the project itself, and the discussion confirms the breaking change was internal, this is a strong signal for an Intrinsic bug.

**Contract Rule** - Not applicable in the sense of an external dependency, but the code violated its own internal contract for how arithmetic operations should handle operands with and without masks, breaking expected commutative behavior.

**Information Completeness** - The issue provides excellent, complete information, including a clear description, a minimal reproducible code example, and version details, which allowed for a swift and precise diagnosis.

**Final Answer:** The evidence overwhelmingly points to an internal logic error introduced in a previous commit within this repository. Maintainers explicitly confirmed the root cause was a single incorrect line of code and fixed it in the production source. This is a classic Intrinsic regression.
**Confidence:** High

**Probability Distribution:**
- Intrinsic: 0.95
- Extrinsic: 0.01
- Not a Bug: 0.03
- Unknown: 0.01

**Final Answer:** Intrinsic",google_genai:gemini-2.5-pro,prompts/classification_prompt.md,0.2,2026-06-24T11:02:21.250335
5,5,Intrinsic,"{""Intrinsic"": 0.95, ""Extrinsic"": 0.01, ""Not a Bug"": 0.03, ""Unknown"": 0.01}","**Reasoning:**
**Definition Check** - The issue identifies a specific line of code within the repository (`fitsrec.py`) that uses a method (`.replace()`) incorrectly. The method is not in-place, and its return value is discarded, meaning the line has no effect. This is a logic error in the repository's source code, which directly aligns with the **Intrinsic** definition.

**Maintainer Signal** - The issue was opened by a MEMBER (`astrofrog`), who correctly diagnosed the problem. A CONTRIBUTOR (`saimn`) confirmed the diagnosis, stating ""indeed the operation is not inplace"". This is a strong signal from maintainers that the bug is internal to the repository's code.

**PR/Commit Evidence** - A PR was merged with the title ""Make sure that the 'D' format is used in fits ascii tables"" and explicitly linked to fix this issue. This indicates a change to production code was necessary to correct the faulty logic.

**Temporal Signals** - There are no temporal signals present. The issue does not mention any dependency upgrades, version changes, or different environments, which makes an Extrinsic cause highly unlikely.

**Contract Rule** - This is a case of misusing a standard library or dependency (`chararray.replace`) method within the repository's own code. The ""contract"" of the `replace` method (that it returns a copy) was violated by the internal logic. This points to an Intrinsic bug.

**Information Completeness** - The issue provides complete information: the exact file and code snippet, a clear explanation of the logical error, and confirmation from another contributor. There is no ambiguity.

**Decision** - The evidence is overwhelming. A maintainer identified a logic error in the repository's source code where a method was used incorrectly. This was confirmed by another contributor and fixed with a PR that modified production code. This is a clear-cut Intrinsic bug.

**Confidence:** High

**Probability Distribution:**
- Intrinsic: 0.95
- Extrinsic: 0.01
- Not a Bug: 0.03
- Unknown: 0.01

**Final Answer:** Intrinsic",google_genai:gemini-2.5-pro,prompts/classification_prompt.md,0.2,2026-06-24T11:02:36.045918
6,6,Intrinsic,"{""Intrinsic"": 0.95, ""Extrinsic"": 0.01, ""Not a Bug"": 0.02, ""Unknown"": 0.02}","**Reasoning:**
**Definition Check** - The issue describes a crash when the code is given a specific, valid input (an empty list/array). The author, a maintainer, states the expected behavior is to return an empty list, not to crash. This points to a logic or edge-case handling error in the repository's source code, which aligns with the **Intrinsic** definition.

**Maintainer Signal** - This is the strongest signal in this issue. The author (`astrofrog`) is a MEMBER of the project. They opened the issue, defined the expected behavior, and provided the fix. This is a clear and direct acknowledgment that the code's current behavior is incorrect and is a bug within this repository.

**PR/Commit Evidence** - A PR titled ""handle zero size inputs in wcs"" was merged to close this issue. This title explicitly states that the fix involved adding logic to handle a specific input type (zero-size arrays) that was previously causing a failure. This is a direct modification of production code to fix a logic error.

**Temporal Signals** - There are no temporal signals (e.g., ""after upgrading..."", ""works on version X...""). This suggests the issue is a pre-existing logic bug rather than a reaction to an external change.

**Contract Rule** - The maintainer implicitly defines the contract: empty arrays are a valid input. The library's code fails to uphold this contract by crashing instead of returning a valid empty output. The failure is internal to the library's logic.

**Information Completeness** - The issue provides a clear, minimal, reproducible example, a stack trace, and a statement of expected behavior. The information is fully sufficient for classification.

**Final Answer:** - The evidence overwhelmingly points to an Intrinsic bug. A maintainer identified a logic error where the code failed to handle a valid edge case (empty inputs), and a PR was merged to fix this logic in the repository's production code.

**Confidence:** High

**Probability Distribution:**
- Intrinsic: 0.95
- Extrinsic: 0.01
- Not a Bug: 0.02
- Unknown: 0.02

**Final Answer:** Intrinsic",google_genai:gemini-2.5-pro,prompts/classification_prompt.md,0.2,2026-06-24T11:02:54.225277
7,7,Not a Bug,"{""Intrinsic"": 0.01, ""Extrinsic"": 0.01, ""Not a Bug"": 0.97, ""Unknown"": 0.01}","**Reasoning:**
**Definition Check** - The issue proposes adding a new, more easily comparable version identifier (`__version_info__`) as a ""usability improvement"". This falls squarely under the ""Not a Bug"" definition, which explicitly includes ""Feature requests, enhancement requests"".

**Maintainer Signal** - A maintainer (`timhoffm`) comments on the proposal, discusses prior art, and agrees with the approach. The discussion is about implementing a new feature, not fixing a defect.

**PR/Commit Evidence** - The closing PR is titled ""Add __version_info__ as a tuple-based version identifier"". The PR adds new functionality to the codebase to satisfy the feature request. It does not fix an error or incorrect behavior in existing code.

**Temporal Signals** - There are no temporal signals. The request is not tied to any dependency upgrade, version change, or external event.

**Contract Rule** - This rule is not applicable as the issue does not concern API usage or a contract violation.

**Information Completeness** - The issue is well-described, clearly stating the problem (usability friction) and the proposed solution (a new version tuple). It is not missing any information.

**Decision** - All signals point to this being a feature request. The issue title, body, ""New feature"" label, maintainer comments, and the nature of the closing PR all confirm that this is a request for an enhancement, not a report of a bug. Per the classification guide, feature requests are classified as ""Not a Bug"".

**Confidence:** High

**Probability Distribution:**
- Intrinsic: 0.01
- Extrinsic: 0.01
- Not a Bug: 0.97
- Unknown: 0.01

**Final Answer:** Not a Bug",google_genai:gemini-2.5-pro,prompts/classification_prompt.md,0.2,2026-06-24T11:19:58.653212
8,8,Intrinsic,"{""Intrinsic"": 0.95, ""Extrinsic"": 0.01, ""Not a Bug"": 0.02, ""Unknown"": 0.02}","**Reasoning:**
**Definition Check** - The issue describes a crash (`IndexError`) that occurs within the repository's own source code (`matplotlib/widgets.py`) when a user provides a specific, valid input (`valinit=[0.0, 0.0]`). This points to a logic error or an unhandled edge case, which falls under the **Intrinsic** definition.

**Maintainer Signal** - There are very strong signals from project contributors. A member (`WeatherGod`) suspects an internal change broke the polygon creation. A contributor (`ianhi`) provides a detailed analysis, identifying the root cause as an unhandled edge case: when the initial values are the same, an internal helper function (`axhspan`) creates a polygon with 4 vertices, but the subsequent code expects 5, causing the `IndexError`. This explicitly confirms the bug is internal to the library's logic.

**PR/Commit Evidence** - The issue was closed by a PR titled ""Fix RangeSlider for same init values"". The PR summary states it changes the polygon initialization logic to ""cover edge case of same init values"" by no longer using `axhspan` and creating the polygon manually. This is a direct modification of production code in this repository to fix the identified logic error.

**Temporal Signals** - There are no temporal signals. The user does not mention any upgrades or version changes that caused the issue to appear.

**Contract Rule** - The user is providing a valid input to the `RangeSlider` constructor. The library's internal code fails to handle this valid input, leading to a crash. This is a failure of the library's own logic, not a misuse of an external API.

**Information Completeness** - The issue is very well-documented with a minimal reproducible code example, a full stack trace, and a clear description of the expected vs. actual outcome.

**Final Answer:** The evidence is conclusive. The stack trace points directly to this repository's code. A contributor identified a specific internal logic flaw (an unhandled edge case), and a PR was merged that modified the production code in this repository to fix that flaw.

**Confidence:** High

**Probability Distribution:**
- Intrinsic: 0.95
- Extrinsic: 0.01
- Not a Bug: 0.02
- Unknown: 0.02

**Final Answer:** Intrinsic",google_genai:gemini-2.5-pro,prompts/classification_prompt.md,0.2,2026-06-24T11:20:19.726323
9,9,Intrinsic,"{""Intrinsic"": 0.95, ""Extrinsic"": 0.01, ""Not a Bug"": 0.02, ""Unknown"": 0.02}","**Reasoning:**
**Definition Check** - The issue describes a crash caused by an unhandled `ValueError`. A function (`format_cursor_data`) attempts to call an `inverse` method on a `BoundaryNorm` object, but this specific type of object is not invertible and is designed to raise this error. This represents a logic/flow error within the repository's source code, where one part of the code does not correctly handle the behavior of another. This fits the **Intrinsic** definition.

**Maintainer Signal** - The signals from maintainers are exceptionally strong. The issue was opened by a MEMBER (`jklymak`), who correctly identified the source of the crash. Another MEMBER (`tacaswell`) and a CONTRIBUTOR (`anntzer`) both confirmed the issue and suggested the exact fix: adding a special `isinstance` check to handle the `BoundaryNorm` case specifically. This is a direct confirmation of an internal logic bug.

**PR/Commit Evidence** - The closing PR directly implements the fix suggested by the maintainers. It modifies production code to add an `isinstance(norm, BoundaryNorm)` check and special logic to prevent the call to the non-existent `inverse` method. This is a clear fix to production code to correct an internal logic error and passes the Intrinsic Evidence Gate.

**Temporal Signals** - There are no temporal signals. The bug is reported against a specific version of the library and is not attributed to any external dependency, runtime, or toolchain upgrade.

**Contract Rule** - This is an internal contract issue. The `format_cursor_data` function was making an incorrect assumption about all `norm` objects being invertible. It was misusing the `BoundaryNorm` object according to its defined behavior (which is to be non-invertible). The responsibility to fix this misuse lies within this repository's code, making it **Intrinsic**.

**Information Completeness** - The issue is perfectly complete, with a minimal reproducible code snippet, a clear stack trace, and a correct diagnosis from the maintainer who opened it.

**Final Answer:** The evidence overwhelmingly points to an internal logic bug. A function in the library did not account for a specific, valid internal state (a non-invertible norm object), leading to a crash. The fix was a change to the repository's own production code to add the missing handling logic.

**Confidence:** High

**Probability Distribution:**
- Intrinsic: 0.95
- Extrinsic: 0.01
- Not a Bug: 0.02
- Unknown: 0.02

**Final Answer:** Intrinsic",google_genai:gemini-2.5-pro,prompts/classification_prompt.md,0.2,2026-06-24T11:20:40.092864
10,10,Intrinsic,"{""Intrinsic"": 0.95, ""Extrinsic"": 0.01, ""Not a Bug"": 0.02, ""Unknown"": 0.02}","**Reasoning:**
**Definition Check** - The issue describes an incorrect internal state change (figures being cleared) when using the library's own features (`rc_context` and `get_backend`) in a specific sequence. This points to a logic or flow error within the repository's source code, which aligns with the **Intrinsic** definition.

**Maintainer Signal** - This is the strongest signal. A maintainer (`tacaswell`) provides a detailed analysis of the root cause: the `rc_context` manager incorrectly resets the `rcParams['backend']` value to a sentinel, which then triggers a re-resolution of the backend, causing all figures to be closed. The maintainer explicitly states, ""That is indeed the problem"" and calls it a ""long standing latent bug"". This is a direct confirmation of an internal logic error.

**PR/Commit Evidence** - A closing PR was merged with the title ""FIX/API: do not reset backend key in rc_context"". The PR description confirms the fix is to ""Special case `'backend'` key to not be reset"" when exiting an `rc_context` block. This is a direct modification of production code within this repository to fix an incorrect behavior.

**Temporal Signals** - The maintainer mentions the bug was ""brought to the front when we made the backend resolution lazier"". This refers to a previous change *within this repository*, not an external dependency or runtime update. This points to a regression or a latent bug exposed by their own changes, which is a characteristic of an Intrinsic bug.

**Contract Rule** - The user is using the public API of matplotlib as intended. The library's internal components (`rc_context` and the backend manager) are interacting incorrectly, leading to a bug. This is not a misuse of an external API.

**Information Completeness** - The issue provides a minimal, complete, and verifiable code example that reproduces the bug, making the information sufficient for a clear diagnosis.

**Final Answer:** - The evidence is overwhelming. A maintainer explicitly identified a long-standing logic bug in the repository's own code, and a PR was merged to fix that specific internal logic.

**Confidence:** High

**Probability Distribution:**
- Intrinsic: 0.95
- Extrinsic: 0.01
- Not a Bug: 0.02
- Unknown: 0.02

**Final Answer:** Intrinsic",google_genai:gemini-2.5-pro,prompts/classification_prompt.md,0.2,2026-06-24T11:20:57.474199
